"Building Type (Residential = 1, Commercial = 2, Industrial = 3",Square Footage,Number of Occupants,Appliances Used,Average Temperature,"Day of Week(Weekday = 1, Weekend = 0)",Energy Consumption
3,5257,74,12,12.58,0,3679.96
3,6868,36,6,14.81,0,3249.36
2,18940,44,33,23.53,1,3979.37
3,22427,8,13,26.21,1,3880.32
2,36744,71,40,30.41,0,5195.15
2,35411,67,23,30.46,1,4798.25
1,43701,7,12,18.49,1,3952.58
1,44827,94,34,27.86,1,5272.05
1,18405,38,24,19.24,1,3234.06
2,15523,52,1,27.67,0,3177.82
2,46000,39,41,33.57,0,5342.17
3,3520,59,13,21.37,0,3419.14
1,29926,32,43,27.22,1,4090.2
1,15359,36,13,19.89,0,2788.49
2,39782,84,26,16.19,0,5268.16
1,6871,26,19,33.73,1,2364.9
1,29234,39,17,34.43,0,3519.56
3,28435,9,22,21.98,1,4391.84
2,38373,1,27,20.26,1,4417.34
3,16208,73,40,15.37,0,4763.57
3,13781,99,29,12.46,0,4696.73
3,14635,19,27,12.28,0,3900.33
3,26463,57,21,31.59,0,4655.22
3,37938,98,17,11.14,1,5711.22
2,35546,52,4,26.35,0,4245.53
3,11289,11,26,18.42,0,3602.33
2,48788,53,11,31.31,0,5032.83
1,5945,16,23,34.38,1,2295.33
1,38109,62,39,15.16,0,4729.67
1,17225,6,9,30.23,1,2500.08
2,49270,28,38,23.08,1,5438.11
1,43020,32,34,11.75,1,4642.27
1,49638,29,15,20.88,1,4517.48
2,27130,7,34,14.73,0,4032.83
2,11583,48,17,23.29,1,3332.69
1,46663,15,28,11.5,1,4535.64
3,1779,84,14,31.84,1,3599.73
3,18588,7,17,19.39,1,3792.47
2,22680,62,21,16.37,0,4092.14
2,37698,4,21,11.07,1,4339.55
2,37648,60,18,21.25,0,4736.14
3,27990,85,31,23.93,0,5249.84
3,49768,51,22,34.91,0,5763.85
1,22227,56,49,12.86,0,4087.05
1,15898,83,20,29.5,0,3377.38
1,8406,25,36,19.48,1,2842.91
3,23779,92,6,18.96,1,4684.16
3,2550,97,45,34.58,1,4374.59
3,47719,92,7,32.82,0,5781.83
2,36112,17,42,28.54,1,4722.9
3,20456,50,6,33.53,0,3975.14
3,46265,68,38,18.13,1,6212.59
1,46526,14,20,27.93,1,4276.66
1,2262,36,49,16.09,0,2872.63
3,10681,71,47,19.75,1,4635.28
1,49438,93,17,13.31,1,5225.35
2,1935,96,28,30.73,0,3463.09
2,12036,61,47,26.75,0,4018.05
1,12612,65,5,28.73,1,2786.93
1,28288,52,19,31.72,0,3655.82
2,12055,52,28,19.62,1,3634.65
3,38758,7,41,10.05,1,5327.65
3,32380,1,21,19.77,1,4500.16
1,26392,13,9,12.69,0,3066.15
3,47956,8,22,34.4,0,5245.78
2,45580,26,1,29.63,1,4460.84
1,6276,75,36,33.11,0,3118.23
2,36340,33,20,16.2,1,4516.02
3,49270,19,39,11.26,0,5877.19
2,31790,46,31,27.09,0,4534.07
3,33820,56,8,21.32,1,4854.4
1,3073,33,17,17.03,1,2288.52
1,38743,65,23,10.2,1,4546.15
1,14494,2,9,32.68,1,2311.29
2,12418,73,13,17.02,0,3525.79
2,10024,54,40,10.49,1,3838.73
1,24070,2,49,24.59,0,3580.56
1,47690,39,11,33.49,1,4377.04
3,17014,91,8,26.94,1,4336.02
3,26515,45,25,33.47,1,4658.38
3,14359,69,40,19.94,1,4658.27
1,9320,40,44,21.16,0,3140.2
2,26517,64,29,15.46,0,4468.57
3,34223,98,6,29.74,1,5212.46
2,39025,86,10,22.42,1,4949.14
1,5203,86,14,20.59,0,2797.21
2,29986,93,9,19.04,0,4514.09
2,25650,21,28,25.14,1,3976.81
1,26623,37,11,23.25,0,3304.91
3,47117,83,45,11.05,0,6530.6
3,21616,26,48,32.4,1,4688.81
1,32360,40,13,29.55,0,3630.24
1,11925,76,9,23.05,0,2921.01
1,34162,48,26,33.54,1,4090.41
2,2469,92,41,13.26,0,3797.14
1,7222,44,39,34.91,0,2906.57
1,30720,3,15,10.22,0,3314.91
1,28673,31,15,11.19,0,3487.69
2,16809,49,26,16.35,1,3818.71
2,33281,6,26,17.8,1,4205.07
3,25438,21,16,23.73,1,4233.24
1,48138,85,22,19.9,1,5147.4
3,36446,92,43,16.56,1,6069.51
1,48408,2,15,27.49,0,4102.94
3,28970,23,49,21.63,0,5050.37
1,45133,39,39,13.3,1,4910.15
3,31311,60,27,17.31,1,5168.99
1,45528,32,32,28.7,0,4592.9
3,30475,92,3,13.61,0,4935.7
2,32919,92,8,27.03,1,4640.78
3,32205,21,17,15.18,1,4634.34
2,41100,8,49,20.38,1,5063.09
2,25503,95,9,17.83,1,4366
1,36685,63,12,22.54,0,4091.56
1,8313,4,43,23.99,1,2745.7
3,12675,2,47,11.93,0,4034.11
2,16871,93,38,33.96,1,4413.74
2,2639,21,25,22.54,1,2779.25
3,47795,9,15,34.61,1,5156.72
2,10150,31,15,33.79,1,2998.57
3,3541,80,7,29.86,0,3467.74
2,27160,10,19,21.96,1,3778.19
3,26655,70,48,17.14,0,5407.04
2,41624,87,20,32.78,1,5237.3
3,23616,86,33,18.76,0,5107
3,48864,68,11,29.85,0,5693.96
1,11883,54,48,14.77,1,3570.31
2,24527,30,11,18.62,0,3653.25
2,37811,25,22,19.14,1,4534.85
1,20041,80,49,22.83,1,4217.88
1,9610,66,1,20.77,0,2556.63
3,42346,20,37,33.31,0,5390.76
2,15548,98,45,18.19,1,4616.46
3,11882,17,2,31.5,0,3146.62
1,38658,55,45,23.86,1,4813.61
2,3219,27,13,17.65,0,2602.69
3,37266,88,31,21.87,0,5753.93
3,37301,38,35,20.22,1,5393.95
1,23893,18,37,31.43,1,3507.49
3,49981,2,18,27.43,0,5241.89
1,14075,72,27,15.1,0,3388.25
3,43323,15,4,33.67,0,4727.81
1,27116,51,16,22.81,0,3571.76
3,45584,52,11,20.78,0,5415.31
2,16350,14,38,18.39,1,3675.54
1,32383,88,47,28.41,1,4847.12
3,10677,97,12,14.15,0,4173.1
1,6204,63,35,17.94,1,3100.51
2,46667,39,1,30.88,1,4638.97
2,24363,10,35,25.87,1,3938.82
2,35201,67,9,21.08,0,4504.67
3,23034,29,14,33.52,1,4104.1
2,781,4,34,22.51,1,2696.49
1,31023,97,23,20.52,0,4378.55
3,32466,29,26,15.49,1,4905.84
1,18809,12,27,29.52,1,3002.83
1,18264,49,34,22.35,0,3471.43
2,25360,34,26,14.98,1,4103.09
2,15163,11,40,11.06,0,3612.86
1,33481,90,26,23.91,1,4524.49
2,44741,78,12,32.66,1,5143.73
3,2698,22,37,19.58,0,3496.99
1,45069,37,17,20.4,0,4361.43
2,37179,82,22,14.12,0,5048.34
3,46663,55,1,22.99,1,5338.19
1,42344,5,30,32.29,1,4155.74
2,33687,90,14,13.13,0,4798.68
2,30948,96,37,20.06,0,5147.11
2,27338,37,49,33.14,1,4601.21
3,44986,5,41,29.42,0,5472.2
1,34875,63,24,33.71,1,4235.19
3,3749,11,4,21.49,0,2769.99
3,1119,11,29,19.96,1,3196.17
1,13176,2,47,11.58,0,3060.91
2,45423,22,2,16.32,0,4449.57
1,7505,70,41,19.04,1,3350.06
1,46903,30,3,27.65,1,4116.88
3,32784,10,11,19.06,0,4363.9
1,4925,30,36,18.33,1,2724.62
3,49151,45,45,15.8,0,6228.54
3,10826,21,28,17.38,0,3724.42
2,40559,32,38,30.26,0,4956.67
3,44564,58,21,26.4,1,5646.19
1,37614,11,12,14.63,0,3657.53
1,9446,43,47,20.27,1,3290.94
1,10722,79,40,25.83,0,3496.97
1,30045,42,5,31.62,0,3364.13
3,41735,5,39,15.27,0,5340.39
2,20346,3,1,28.49,0,2924.87
1,6395,10,32,22.76,1,2495.93
2,30587,70,36,15.27,0,4873
3,20522,88,42,31.58,0,5088.21
3,40387,31,37,20.24,1,5518.13
3,15751,9,13,29.07,1,3542.19
2,18158,46,3,21.1,1,3372.41
3,20194,60,45,22.82,0,4895.61
1,8304,98,46,18.82,1,3771.12
1,3724,16,10,26.17,0,1915.37
2,10382,63,31,13.89,0,3699.65
1,29930,63,6,24.99,0,3621.53
2,42399,58,35,13.49,0,5332.5
1,33630,96,32,32.11,0,4620.93
2,26931,31,11,25.59,1,3798.62
1,4314,43,17,31.12,0,2330.09
1,27185,92,8,13.46,1,3921.95
1,23999,7,37,13.91,1,3490.41
1,16835,19,7,33.47,1,2554.39
2,17587,72,4,14.08,1,3658.93
1,12439,20,33,13.16,1,2966.16
1,28132,49,9,20.74,1,3522.9
2,46889,54,28,17.07,0,5359.1
1,49401,60,13,18.44,1,4787.86
1,26059,16,19,28.69,1,3249.48
1,5306,73,42,31.2,1,3229.31
3,15652,17,3,20.72,0,3408.98
1,37880,72,28,16.73,1,4640.37
2,25553,96,25,30.45,1,4635.4
2,45741,21,33,28.63,1,5063.9
1,35701,19,17,29.9,0,3665.55
1,26789,57,4,16,1,3459.45
1,34749,42,46,33.41,0,4410.42
3,8570,9,45,26.94,1,3833.81
3,31773,60,19,26.02,1,4988.57
1,32654,74,48,29.06,0,4687.39
3,48417,86,23,18.9,0,6146.35
1,44960,10,35,29.67,1,4449.66
1,14047,50,46,29.34,1,3525.66
1,26712,60,42,20.2,1,4224.59
2,11872,66,37,28.67,1,3900.25
3,11622,93,4,25.21,0,3965.05
1,9577,90,49,17.05,0,3773.61
3,838,34,45,23.29,1,3715.45
2,10016,85,8,24.61,1,3437.74
1,13487,39,32,30.67,1,3101.02
1,15399,24,2,24.28,1,2478.55
2,16978,48,14,12.46,0,3546.62
2,11746,1,18,24.76,1,2883.5
1,32913,21,8,13.77,1,3496.82
3,49582,63,37,32.14,0,6188.4
3,48802,85,9,14.35,1,5948.34
2,42152,47,21,27.7,0,4859.08
2,31980,2,33,30.43,0,4126.84
3,22304,74,29,11.39,0,4878.26
1,49958,33,8,28.35,0,4346.16
2,5353,20,18,32.04,0,2667.44
3,44913,55,48,25.1,0,6130.17
2,27157,67,38,21.08,0,4682.44
2,15860,95,32,16.24,1,4351.81
3,9823,32,5,17.67,0,3322.79
1,47324,30,32,25.49,0,4678.75
1,48785,84,6,20.48,0,4796.83
2,16063,8,24,30.91,0,3208.59
2,10593,32,19,23.55,1,3161.9
3,37511,47,45,25.14,1,5669.86
2,32696,19,37,24.33,0,4443.15
2,25564,87,34,15.2,1,4802.21
1,36624,74,30,30.45,0,4518.97
2,38284,36,8,12.75,0,4370.44
2,28904,3,3,32.11,1,3424.66
2,9700,20,35,27.42,1,3297.91
3,26899,36,45,25.43,0,4977.79
3,1422,44,24,16.79,1,3457.17
2,39065,94,38,16.96,0,5568.44
2,2328,69,16,12.36,1,3114.61
1,27484,47,48,28.79,0,4160.27
1,20415,35,5,31.08,0,2815.34
2,33620,98,5,12.47,1,4748.66
3,18102,21,35,31.59,1,4207.14
3,9708,70,24,31.32,0,4008.78
1,16532,8,18,32.12,0,2605.98
3,34516,75,15,23.3,1,5209.3
2,36237,45,23,29.86,1,4622.54
1,31061,94,17,11.66,0,4274.73
2,20991,83,29,31.85,0,4300.28
2,21306,21,35,27.24,1,3889.08
2,3889,21,40,27.75,1,3115.68
1,11802,15,34,10.25,0,2868.84
1,7509,30,18,10.51,1,2532.88
2,39350,77,11,12.22,1,4946.38
1,44142,62,38,30.82,1,4983
2,29759,94,14,28.28,1,4616.56
3,21927,95,10,33.51,1,4628.8
1,47564,23,44,25.48,0,4860.8
3,7145,67,37,21.23,1,4211.11
1,17153,9,1,34.06,1,2347.37
2,12245,85,4,22.85,0,3428.02
3,42398,44,22,30.32,0,5348.31
2,8936,38,24,23.33,1,3240.14
2,21788,21,9,21.56,0,3371.6
2,20494,18,9,15.93,0,3305.06
3,20478,80,41,20.69,0,5040.46
1,2470,65,46,20.94,1,3138.81
1,1045,60,46,24.71,0,2948.69
3,29029,82,30,21.74,0,5262.76
2,5099,39,6,16.24,0,2683.73
2,36908,60,9,28.82,1,4531.32
3,30281,46,12,20.46,0,4611.73
1,48775,54,27,17.78,1,4979.87
3,48337,69,44,15.67,1,6458.51
3,34893,86,28,16.18,1,5633.76
2,5280,49,26,30.56,0,3121.19
1,15828,52,11,29.55,0,2883.63
1,26212,35,1,23.3,0,3064.11
1,14419,68,44,23.95,0,3661.21
3,12194,7,22,14.67,0,3546.34
2,39562,88,20,32.18,1,5147.21
1,8348,67,37,16.48,0,3244.98
2,15813,57,11,31.4,0,3423.63
